memberID,house,name,id,startDate,endDate,additionalInfo,additionalInfoLink
1016,1,Leader of the Labour Party,789,1963-02-14T00:00:00,1976-04-05T00:00:00,,
1016,1,"Party Chair, Labour Party",808,1961-07-01T00:00:00,1962-07-01T00:00:00,,
1019,1,"Vice-Chair, Conservative Party",823,1974-07-01T00:00:00,1976-07-01T00:00:00,,
1020,1.0,"Member, Labour Party National Executive Committee",803,1976-08-01T00:00:00,1978-07-31T00:00:00,,
1020,,"Member, Labour Party National Executive Committee",803,1971-08-01T00:00:00,1975-07-31T00:00:00,,
1022,1,"Vice-Chair, Conservative Party",823,1975-07-01T00:00:00,1979-07-01T00:00:00,,
1025,1,"Chair, Conservative Party 1922 Committee",757,1992-05-01T00:00:00,1997-05-01T00:00:00,,
1028,1,"Party Chair, Conservative Party",805,1989-07-24T00:00:00,1990-11-28T00:00:00,,
1042,1,"Vice-Chair, Conservative Party",823,1961-08-01T00:00:00,1965-07-31T00:00:00,,
1046,1,"Party Chair, Conservative Party",805,1970-07-01T00:00:00,1972-07-01T00:00:00,,
1049,1,"Vice-Chair, Conservative Party",823,1975-08-01T00:00:00,1979-07-31T00:00:00,,
1052,,"Party Chair, Independent Labour Party",807,1943-07-01T00:00:00,1948-07-01T00:00:00,,
1068,2,Chair of Labour Peers,756,1997-05-03T00:00:00,2000-07-01T00:00:00,,
1074,1,"Deputy Chair, Conservative Party",766,1975-08-01T00:00:00,1977-07-31T00:00:00,,
1074,1,"Treasurer, Conservative Party",820,1974-08-01T00:00:00,1975-07-31T00:00:00,,
1082,1,"Party Chair, Labour Party",808,1991-08-01T00:00:00,1992-07-31T00:00:00,,
1082,1,"Vice-Chair, Labour Party",824,1990-08-01T00:00:00,1991-07-31T00:00:00,,
1082,1,"Member, Labour Party National Executive Committee",803,1982-08-01T00:00:00,1996-07-31T00:00:00,,
1091,2.0,Deputy Chairman of Committees (Lords),1092,2020-04-21T00:00:00,2021-04-29T00:00:00,,
1091,2.0,Deputy Chairman of Committees (Lords),1092,2013-02-14T00:00:00,2013-10-07T00:00:00,,
1091,,"Deputy Chair, Conservative Party",766,2007-01-01T00:00:00,2010-05-06T00:00:00,,
1096,1,Deputy Speaker (First Deputy Chairman of Ways and Means),777,1987-06-29T00:00:00,1992-04-09T00:00:00,,
