memberID,house,name,id,startDate,endDate,additionalInfo,additionalInfoLink
366,1.0,Home Secretary,74,1992-04-10T00:00:00,1993-05-26T00:00:00,Home Office,https://www.gov.uk/government/organisations/home-office
366,1.0,Secretary of State for Education and Science,696,1990-11-02T00:00:00,1992-04-09T00:00:00,Department of Education and Science,
366,1.0,Secretary of State for Health,709,1988-07-25T00:00:00,1990-11-01T00:00:00,Department of Health,http://www.dh.gov.uk
366,1.0,Chancellor of the Duchy of Lancaster,27,1987-06-13T00:00:00,1988-07-24T00:00:00,Duchy of Lancaster Office,
366,1.0,Minister of State (Department of Trade and Industry),413,1987-06-13T00:00:00,1988-07-24T00:00:00,Department of Trade and Industry,http://www.dti.gov.uk
366,1.0,Secretary of State for Employment,700,1985-09-02T00:00:00,1987-06-13T00:00:00,Department of Employment,
366,1.0,Paymaster General (HM Treasury),396,1985-09-02T00:00:00,1987-06-12T00:00:00,HM Treasury,https://www.gov.uk/government/organisations/hm-treasury
366,1.0,Minister of State (Department of Health),445,1982-03-05T00:00:00,1985-09-01T00:00:00,Department of Health,http://www.dh.gov.uk
366,1.0,Parliamentary Under-Secretary (Department for Transport) (Roads and Motoring),916,1981-05-01T00:00:00,1982-03-05T00:00:00,Department for Transport,https://www.gov.uk/government/organisations/department-for-transport
366,1.0,Parliamentary Secretary (Ministry of Transport),347,1979-05-07T00:00:00,1981-01-05T00:00:00,Ministry of Transport,
366,1.0,Lord Commissioner (HM Treasury) (Whip),350,1974-01-01T00:00:00,1974-03-01T00:00:00,HM Treasury,https://www.gov.uk/government/organisations/hm-treasury
366,1.0,Assistant Whip (HM Treasury),351,1972-01-01T00:00:00,1974-01-01T00:00:00,HM Treasury,https://www.gov.uk/government/organisations/hm-treasury
367,1.0,Deputy Leader of the House of Commons,52,2007-03-28T00:00:00,2007-06-28T00:00:00,Office of the Leader of the House of Commons,https://www.gov.uk/government/organisations/the-office-of-the-leader-of-the-house-of-commons
367,1.0,Parliamentary Secretary (Privy Council Office),481,1999-12-16T00:00:00,2001-06-07T00:00:00,Privy Council Office,http://privycouncil.independent.gov.uk/
369,1.0,Assistant Whip (HM Treasury),351,2005-05-10T00:00:00,2007-06-28T00:00:00,HM Treasury,https://www.gov.uk/government/organisations/hm-treasury
