memberID,house,name,id,startDate,endDate,additionalInfo,additionalInfoLink
25,1.0,"Shadow Minister (Business, Innovation and Skills)",15,2003-07-01T00:00:00,2010-05-06T00:00:00,"Department for Business, Innovation and Skills",https://www.gov.uk/government/organisations/department-for-business-innovation-skills
28,1.0,Shadow Secretary of State for Transport,868,2007-12-20T00:00:00,2010-05-06T00:00:00,Department for Transport,https://www.gov.uk/government/organisations/department-for-transport
28,1.0,Shadow Minister (Cabinet Office),956,2007-07-05T00:00:00,2007-12-20T00:00:00,Cabinet Office,https://www.gov.uk/government/organisations/cabinet-office
28,1.0,"Shadow Secretary of State for Environment, Food and Rural Affairs",869,2005-05-16T00:00:00,2006-01-30T00:00:00,"Department for Environment, Food and Rural Affairs",https://www.gov.uk/government/organisations/department-for-environment-food-rural-affairs
28,1.0,Shadow Spokesperson (Home Affairs),988,2001-01-01T00:00:00,2002-01-01T00:00:00,Home Office,https://www.gov.uk/government/organisations/home-office
28,1.0,"Shadow Spokesperson (Business, Enterprise and Regulatory Reform)",1039,1999-01-01T00:00:00,2001-01-01T00:00:00,Opposition Department,
28,1.0,Shadow Spokesperson (Transport),993,1998-01-01T00:00:00,1999-01-01T00:00:00,Department for Transport,https://www.gov.uk/government/organisations/department-for-transport
28,1.0,"Shadow Spokesperson (Culture, Media and Sport)",980,1998-01-01T00:00:00,2001-01-01T00:00:00,"Department for Culture, Media and Sport",https://www.gov.uk/government/organisations/department-for-culture-media-sport
28,,"Shadow Spokesperson (Culture, Media and Sport)",980,1997-01-01T00:00:00,2000-01-01T00:00:00,"Department for Culture, Media and Sport",https://www.gov.uk/government/organisations/department-for-culture-media-sport
28,,"Shadow Spokesperson (Environment, Food and Rural Affairs)",984,1997-01-01T00:00:00,1999-01-01T00:00:00,"Department for Environment, Food and Rural Affairs",https://www.gov.uk/government/organisations/department-for-environment-food-rural-affairs
33,1.0,Shadow Secretary of State for Communities and Local Government,867,2007-07-03T00:00:00,2009-01-19T00:00:00,Department for Communities and Local Government,https://www.gov.uk/government/organisations/department-for-communities-and-local-government
33,1.0,Shadow Minister (Communities and Local Government),957,2005-05-10T00:00:00,2007-07-03T00:00:00,Department for Communities and Local Government,https://www.gov.uk/government/organisations/department-for-communities-and-local-government
33,1.0,Shadow Secretary of State for Communities and Local Government,867,2003-11-01T00:00:00,2005-05-10T00:00:00,Department for Communities and Local Government,https://www.gov.uk/government/organisations/department-for-communities-and-local-government
33,1.0,Shadow Secretary of State for Communities and Local Government,867,2002-05-03T00:00:00,2003-11-01T00:00:00,Department for Communities and Local Government,https://www.gov.uk/government/organisations/department-for-communities-and-local-government
33,1.0,Shadow Minister (Transport),971,2001-06-01T00:00:00,2002-06-01T00:00:00,Department for Transport,https://www.gov.uk/government/organisations/department-for-transport
33,1.0,Shadow Spokesperson (Work and Pensions),1006,1998-06-01T00:00:00,2001-06-01T00:00:00,Department for Work and Pensions,https://www.gov.uk/government/organisations/department-for-work-pensions
35,1.0,Opposition Whip (Commons),10,2005-05-10T00:00:00,2010-05-06T00:00:00,Whips Office (Commons),
35,1.0,Shadow Minister (Defence),959,2005-05-10T00:00:00,2010-05-06T00:00:00,Ministry of Defence,https://www.gov.uk/government/organisations/ministry-of-defence
36,1.0,Shadow Minister (Justice),968,2007-07-03T00:00:00,2010-05-06T00:00:00,Ministry of Justice,https://www.gov.uk/government/organisations/ministry-of-justice
36,1.0,Shadow Minister (Women and Equality),1021,2005-12-08T00:00:00,2007-07-03T00:00:00,,
36,1.0,Shadow Secretary of State for Scotland,874,2005-05-10T00:00:00,2005-12-08T00:00:00,Scotland Office,https://www.gov.uk/government/organisations/scotland-office
36,1.0,Shadow Minister (Women),1019,2004-07-06T00:00:00,2005-05-10T00:00:00,,
36,1.0,Shadow Minister (Children),1020,2003-07-01T00:00:00,2003-12-01T00:00:00,,
36,1.0,Shadow Spokesperson (Education),982,2001-07-01T00:00:00,2003-07-01T00:00:00,Department for Education,http://www.education.gov.uk/
36,1.0,"Opposition Spokesperson (Constitutional Affairs, Scotland and Wales)",1012,2000-07-01T00:00:00,2001-07-01T00:00:00,,
36,1.0,Opposition Whip (Commons),10,1998-10-01T00:00:00,2000-07-01T00:00:00,Whips Office (Commons),
39,1.0,"Shadow Secretary of State for Culture, Media and Sport",1186,2004-07-01T00:00:00,2005-05-05T00:00:00,"Department for Culture, Media and Sport",https://www.gov.uk/government/organisations/department-for-culture-media-sport
39,1.0,"Shadow Secretary of State for Environment, Food and Rural Affairs",869,2003-11-01T00:00:00,2004-07-01T00:00:00,"Department for Environment, Food and Rural Affairs",https://www.gov.uk/government/organisations/department-for-environment-food-rural-affairs
39,1.0,"Shadow Secretary of State for Culture, Media and Sport",1186,2002-07-23T00:00:00,2003-11-15T00:00:00,"Department for Culture, Media and Sport",https://www.gov.uk/government/organisations/department-for-culture-media-sport
39,1.0,Shadow Secretary of State (Trade and Industry),1023,2001-09-18T00:00:00,2002-07-23T00:00:00,Department of Trade and Industry,http://www.dti.gov.uk
39,1.0,Shadow Spokesperson (Treasury),994,1998-06-01T00:00:00,1999-06-01T00:00:00,HM Treasury,https://www.gov.uk/government/organisations/hm-treasury
39,1.0,Opposition Whip (Commons),10,1997-06-01T00:00:00,1998-06-01T00:00:00,Whips Office (Commons),
40,1.0,Shadow Minister (Energy and Climate Change),961,2005-05-10T00:00:00,2005-12-08T00:00:00,Department of Energy and Climate Change,https://www.gov.uk/government/organisations/department-of-energy-climate-change
40,1.0,Shadow Secretary of State (The Regions),1030,2003-10-01T00:00:00,2005-05-10T00:00:00,,
40,1.0,Shadow Secretary of State for Defence,859,2001-09-01T00:00:00,2003-10-01T00:00:00,Ministry of Defence,https://www.gov.uk/government/organisations/ministry-of-defence
40,1.0,Shadow Minister (Transport),971,1998-06-19T00:00:00,2001-09-01T00:00:00,Department for Transport,https://www.gov.uk/government/organisations/department-for-transport
40,1.0,"Opposition Spokesperson (Environment, Transport and the Regions)",1013,1998-01-01T00:00:00,1998-06-19T00:00:00,,
40,1.0,"Opposition Spokesperson (Constitutional Affairs, Scotland and Wales)",1012,1997-07-01T00:00:00,1998-07-01T00:00:00,,
42,1.0,Shadow Secretary of State,16,1977-07-01T00:00:00,1979-05-03T00:00:00,HM Official Opposition,
46,1.0,Opposition Whip (Commons),10,2005-12-10T00:00:00,2010-05-06T00:00:00,Whips Office (Commons),
46,1.0,Shadow Spokesperson (Health),987,2001-01-01T00:00:00,2005-12-10T00:00:00,Department of Health,http://www.dh.gov.uk
46,1.0,Shadow Spokesperson (Communities and Local Government),979,1998-01-01T00:00:00,1999-01-01T00:00:00,Department for Communities and Local Government,https://www.gov.uk/government/organisations/department-for-communities-and-local-government
46,1.0,Shadow Spokesperson (Social Security),1455,1997-05-01T00:00:00,1998-01-01T00:00:00,Department of Social Security,
47,1.0,Shadow Minister (Defence),959,2002-07-23T00:00:00,2010-05-06T00:00:00,Ministry of Defence,https://www.gov.uk/government/organisations/ministry-of-defence
50,1.0,Shadow Spokesperson (Foreign and Commonwealth Affairs),985,1999-01-01T00:00:00,2005-05-05T00:00:00,Foreign and Commonwealth Office,https://www.gov.uk/government/organisations/foreign-commonwealth-office
50,1.0,Shadow Spokesperson (Trade and Industry),1047,1997-01-01T00:00:00,1999-01-01T00:00:00,Department of Trade and Industry,http://www.dti.gov.uk
50,1.0,Shadow Spokesperson (Transport),993,1995-01-01T00:00:00,1997-01-01T00:00:00,Department for Transport,https://www.gov.uk/government/organisations/department-for-transport
50,1.0,Shadow Spokesperson (Employment),1459,1994-06-09T00:00:00,1995-01-01T00:00:00,Department of Employment,
53,1.0,Shadow Minister (Education),960,2007-07-03T00:00:00,2010-05-06T00:00:00,Department for Education,http://www.education.gov.uk/
53,1.0,Shadow Secretary of State for Education,864,2005-12-08T00:00:00,2007-07-03T00:00:00,Department for Education,http://www.education.gov.uk/
53,1.0,Shadow Secretary of State (Trade and Industry),1023,2005-05-10T00:00:00,2005-12-08T00:00:00,Department of Trade and Industry,http://www.dti.gov.uk
53,1.0,Shadow Secretary of State for Work and Pensions,866,2001-09-18T00:00:00,2005-05-10T00:00:00,Department for Work and Pensions,https://www.gov.uk/government/organisations/department-for-work-pensions
53,1.0,Shadow Secretary of State for Work and Pensions,866,1999-06-15T00:00:00,2001-09-18T00:00:00,Department for Work and Pensions,https://www.gov.uk/government/organisations/department-for-work-pensions
53,1.0,Shadow Secretary of State for Education,864,1998-06-02T00:00:00,1999-06-15T00:00:00,Department for Education,http://www.education.gov.uk/
54,1.0,Shadow Minister (Defence),959,2005-05-10T00:00:00,2010-05-06T00:00:00,Ministry of Defence,https://www.gov.uk/government/organisations/ministry-of-defence
54,1.0,Shadow Minister (Cabinet Office),956,2004-07-01T00:00:00,2005-05-10T00:00:00,Cabinet Office,https://www.gov.uk/government/organisations/cabinet-office
54,1.0,Shadow Minister (Defence),959,2002-07-01T00:00:00,2004-07-01T00:00:00,Ministry of Defence,https://www.gov.uk/government/organisations/ministry-of-defence
54,1.0,Opposition Whip (Commons),10,2001-07-01T00:00:00,2002-07-01T00:00:00,Whips Office (Commons),
55,1.0,Opposition Whip (Commons),10,2002-06-01T00:00:00,2003-06-01T00:00:00,Whips Office (Commons),
55,1.0,Shadow Spokesperson (Defence),981,2001-06-01T00:00:00,2002-06-01T00:00:00,Ministry of Defence,https://www.gov.uk/government/organisations/ministry-of-defence
55,1.0,Shadow Spokesperson (Health),987,2001-02-01T00:00:00,2001-06-01T00:00:00,Department of Health,http://www.dh.gov.uk
56,1.0,Shadow Minister (Trade and Industry),1046,2005-02-01T00:00:00,2005-10-31T00:00:00,Department of Trade and Industry,http://www.dti.gov.uk
56,1.0,Shadow Secretary of State (Trade and Industry),1023,2003-11-08T00:00:00,2005-05-10T00:00:00,Department of Trade and Industry,http://www.dti.gov.uk
56,1.0,Shadow Chief Whip (Commons),6,1997-06-11T00:00:00,2001-06-07T00:00:00,Whips Office (Commons),
57,1.0,Shadow Leader of the House of Commons,14,2009-09-08T00:00:00,2010-05-06T00:00:00,Office of the Leader of the House of Commons,https://www.gov.uk/government/organisations/the-office-of-the-leader-of-the-house-of-commons
57,1.0,Shadow Secretary of State,16,1999-06-15T00:00:00,2000-09-26T00:00:00,HM Official Opposition,
57,1.0,Shadow Leader of the House of Commons,14,1998-06-02T00:00:00,2000-09-26T00:00:00,Office of the Leader of the House of Commons,https://www.gov.uk/government/organisations/the-office-of-the-leader-of-the-house-of-commons
57,1.0,Shadow Secretary of State for Defence,859,1997-06-11T00:00:00,1998-06-02T00:00:00,Ministry of Defence,https://www.gov.uk/government/organisations/ministry-of-defence
59,1.0,"Shadow Spokesperson (Environment, Food and Rural Affairs)",984,2000-04-06T00:00:00,2001-04-05T00:00:00,"Department for Environment, Food and Rural Affairs",https://www.gov.uk/government/organisations/department-for-environment-food-rural-affairs
59,,Shadow Spokesperson (Foreign and Commonwealth Affairs),985,1997-04-03T00:00:00,1999-04-01T00:00:00,Foreign and Commonwealth Office,https://www.gov.uk/government/organisations/foreign-commonwealth-office
60,1.0,"Shadow Minister (Business, Innovation and Skills)",15,2006-03-05T00:00:00,2010-05-06T00:00:00,"Department for Business, Innovation and Skills",https://www.gov.uk/government/organisations/department-for-business-innovation-skills
60,1.0,"Shadow Spokesperson (Business, Innovation and Skills)",9,2003-07-01T00:00:00,2006-03-03T00:00:00,"Department for Business, Innovation and Skills",https://www.gov.uk/government/organisations/department-for-business-innovation-skills
61,1.0,"Shadow Secretary of State for Business, Innovation and Skills",860,2010-10-08T00:00:00,2011-10-07T00:00:00,"Department for Business, Innovation and Skills",https://www.gov.uk/government/organisations/department-for-business-innovation-skills
61,1.0,Shadow Secretary of State for Communities and Local Government,867,2010-05-12T00:00:00,2010-10-08T00:00:00,Department for Communities and Local Government,https://www.gov.uk/government/organisations/department-for-communities-and-local-government
62,1.0,Shadow Minister (Climate Change and Net Zero),1616,2021-12-04T00:00:00,,Department for Energy Security and Net Zero,https://www.gov.uk/government/organisations/department-for-energy-security-and-net-zero
62,1.0,"Shadow Minister (Business, Energy and Industrial Strategy)",1336,2016-10-10T00:00:00,2021-12-04T00:00:00,Department for Business and Trade ,https://www.gov.uk/government/organisations/department-for-business-and-trade
62,1.0,Shadow Minister (Energy and Climate Change),961,2015-09-18T00:00:00,2016-06-28T00:00:00,Department of Energy and Climate Change,https://www.gov.uk/government/organisations/department-of-energy-climate-change
63,1.0,Shadow Secretary of State,16,2003-07-01T00:00:00,2006-01-21T00:00:00,HM Official Opposition,
67,1.0,Shadow Spokesperson (Work and Pensions),1006,2007-07-10T00:00:00,2010-05-06T00:00:00,Department for Work and Pensions,https://www.gov.uk/government/organisations/department-for-work-pensions
