BillID,id,stageId,sessionId,description,abbreviation,house,stageSittings,sortOrder
483,13351.0,7.0,22.0,2nd reading,2R,Commons,[],2.0
484,2462.0,6.0,22.0,1st reading,1R,Commons,"[{'id': 2382, 'stageId': 6, 'billStageId': 2462, 'billId': 484, 'date': '2009-06-02T00:00:00'}]",1.0
484,13352.0,7.0,22.0,2nd reading,2R,Commons,[],2.0
485,2464.0,1.0,22.0,1st reading,1R,Lords,"[{'id': 2383, 'stageId': 1, 'billStageId': 2464, 'billId': 485, 'date': '2009-06-02T00:00:00'}]",1.0
485,13353.0,2.0,22.0,2nd reading,2R,Lords,[],2.0
486,2470.0,6.0,22.0,1st reading,1R,Commons,"[{'id': 2384, 'stageId': 6, 'billStageId': 2470, 'billId': 486, 'date': '2009-06-03T00:00:00'}]",1.0
486,13354.0,7.0,22.0,2nd reading,2R,Commons,[],2.0
487,2472.0,6.0,22.0,1st reading,1R,Commons,"[{'id': 2385, 'stageId': 6, 'billStageId': 2472, 'billId': 487, 'date': '2009-06-03T00:00:00'}]",1.0
487,13355.0,7.0,22.0,2nd reading,2R,Commons,[],2.0
488,2479.0,6.0,22.0,1st reading,1R,Commons,"[{'id': 2386, 'stageId': 6, 'billStageId': 2479, 'billId': 488, 'date': '2009-06-08T00:00:00'}]",1.0
488,13356.0,7.0,22.0,2nd reading,2R,Commons,[],2.0
489,2484.0,6.0,22.0,1st reading,1R,Commons,"[{'id': 2387, 'stageId': 6, 'billStageId': 2484, 'billId': 489, 'date': '2009-06-09T00:00:00'}]",1.0
489,13357.0,7.0,22.0,2nd reading,2R,Commons,[],2.0
490,2486.0,6.0,22.0,1st reading,1R,Commons,"[{'id': 2388, 'stageId': 6, 'billStageId': 2486, 'billId': 490, 'date': '2009-06-10T00:00:00'}]",1.0
490,13358.0,7.0,22.0,2nd reading,2R,Commons,[],2.0
491,2488.0,6.0,22.0,1st reading,1R,Commons,"[{'id': 2389, 'stageId': 6, 'billStageId': 2488, 'billId': 491, 'date': '2009-06-10T00:00:00'}]",1.0
491,13359.0,7.0,22.0,2nd reading,2R,Commons,[],2.0
493,2508.0,6.0,22.0,1st reading,1R,Commons,"[{'id': 2464, 'stageId': 6, 'billStageId': 2508, 'billId': 493, 'date': '2009-06-17T00:00:00'}]",1.0
493,13360.0,7.0,22.0,2nd reading,2R,Commons,[],2.0
494,2512.0,6.0,22.0,1st reading,1R,Commons,"[{'id': 2465, 'stageId': 6, 'billStageId': 2512, 'billId': 494, 'date': '2009-06-18T00:00:00'}]",1.0
494,13361.0,7.0,22.0,2nd reading,2R,Commons,[],2.0
495,2526.0,6.0,22.0,1st reading,1R,Commons,"[{'id': 2468, 'stageId': 6, 'billStageId': 2526, 'billId': 495, 'date': '2009-06-23T00:00:00'}]",1.0
495,2527.0,7.0,22.0,2nd reading,2R,Commons,"[{'id': 2469, 'stageId': 7, 'billStageId': 2527, 'billId': 495, 'date': '2009-06-29T00:00:00'}]",2.0
495,2552.0,14.0,22.0,Programme motion,PM,Commons,"[{'id': 2470, 'stageId': 14, 'billStageId': 2552, 'billId': 495, 'date': '2009-06-29T00:00:00'}]",3.0
495,2553.0,15.0,22.0,Money resolution,MR,Commons,"[{'id': 2471, 'stageId': 15, 'billStageId': 2553, 'billId': 495, 'date': '2009-06-29T00:00:00'}]",4.0
495,2534.0,8.0,22.0,Committee stage,CS,Commons,"[{'id': 2466, 'stageId': 8, 'billStageId': 2534, 'billId': 495, 'date': '2009-06-30T00:00:00'}, {'id': 2467, 'stageId': 8, 'billStageId': 2534, 'billId': 495, 'date': '2009-07-01T00:00:00'}]",5.0
495,2568.0,9.0,22.0,Report stage,RS,Commons,"[{'id': 2472, 'stageId': 9, 'billStageId': 2568, 'billId': 495, 'date': '2009-07-01T00:00:00'}]",6.0
495,2569.0,10.0,22.0,3rd reading,3R,Commons,"[{'id': 2473, 'stageId': 10, 'billStageId': 2569, 'billId': 495, 'date': '2009-07-01T00:00:00'}]",7.0
495,2580.0,1.0,22.0,1st reading,1R,Lords,"[{'id': 2474, 'stageId': 1, 'billStageId': 2580, 'billId': 495, 'date': '2009-07-02T00:00:00'}]",8.0
495,2581.0,2.0,22.0,2nd reading,2R,Lords,"[{'id': 2475, 'stageId': 2, 'billStageId': 2581, 'billId': 495, 'date': '2009-07-08T00:00:00'}]",9.0
